주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
138-1-000019,재반로 노상공영 A,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),부산광역시 해운대구 재반로 일원(반여동1291-1199),24,3,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-1-000020,재반로 노상공영 B,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),부산광역시 해운대구 재반로 일원(반여동1291-1199),17,3,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-1-000021,재반로 노상공영 C,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),부산광역시 해운대구 재반로 일원(반여동1291-1199),20,3,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-1-000022,재반로 노상공영 D,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),부산광역시 해운대구 재반로 일원(반여동1291-1199),19,3,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,100,10,100,,2400,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-1-000023,대천공원공영주차장,공영,노상,부산광역시 해운대구 좌동 1384번지,부산광역시 해운대구 좌동 1384번지,79,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,200,10,200,,4700,,현금+카드,,부산광역시 해운대구,051-749-4884,,,2021.7.22
138-1-000024,동백공원공영주차장,공영,노상,부산광역시 해운대구 우동 721번지,부산광역시 해운대구 우동 721번지,129,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,500,10,500,,15000,,현금+카드,가변급지(1~2),부산광역시 해운대구,051-749-4884,,,2021.7.22
138-4-000016,왕자주차장,민영,노외,부산광역시 해운대구 반여1동1405-37,부산광역시 해운대구 반여1동1405-37,10,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000017,양지주차장,민영,노외,부산광역시 해운대구 반송1동250-2343,부산광역시 해운대구 반송1동250-2343,6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,월주차만,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000018,장원주차장,민영,노외,"부산광역시 해운대구 반여1동1244-4,5","부산광역시 해운대구 반여1동1244-4,5",12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,월주차만,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000019,송림주차장,민영,노외,부산광역시 해운대구 우1동703-1,"부산광역시 해운대구 우1동703-1,19",8,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,4000,30,2000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000020,미포주차장,민영,노외,부산광역시 해운대구 중1동1035-2,부산광역시 해운대구 중1동1035-2,8,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000021,반여주차장,민영,노외,부산광역시 해운대구 반여1동1010-9,부산광역시 해운대구 반여1동1010-9,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,10,100,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000022,예스렌트카주차장,민영,노외,부산광역시 해운대구 중1동836,부산광역시 해운대구 중1동836,6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,10,100,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000023,진영주차장,민영,노외,"부산광역시 해운대구 반송1동250-2296,2297","부산광역시 해운대구 반송1동250-2296,2297",7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000024,삼성주차장,민영,노외,"부산광역시 해운대구 중1동1382-1,8,10,1394-300","부산광역시 해운대구 중1동1382-1,6,8,10",84,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,3000,10,500,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000025,성진주차장,민영,노외,부산광역시 해운대구 재송1동1118-4,부산광역시 해운대구 재송1동1118-4,16,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000026,태영주차장,민영,노외,부산광역시 해운대구 우1동544-1,부산광역시 해운대구 우1동544-1,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,3000,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000027,일승주차장,민영,노외,부산광역시 해운대구 좌1동420-1,부산광역시 해운대구 좌1동420-1,14,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000028,제일주차장,민영,노외,부산광역시 해운대구 반송1동744-87외1,부산광역시 해운대구 반송1동744-87외1,13,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,500,30,1000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000029,해운대역주차장,민영,노외,부산광역시 해운대구 우1동552-21 (구562-4),부산광역시 해운대구 우1동552-21 (구562-4),20,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000030,고려주차장,민영,노외,부산광역시 해운대구 중1동1378-77,부산광역시 해운대구 중1동1378-77,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,3000,30,1500,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000031,제일주차장,민영,노외,부산광역시 해운대구 우1동175-3,부산광역시 해운대구 우1동175-3,24,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,500,30,1000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000032,신도시주차장,민영,노외,부산광역시 해운대구 좌1동912,부산광역시 해운대구 좌1동912,45,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000033,대성주차장,민영,노외,부산광역시 해운대구 반여1동955,부산광역시 해운대구 반여1동955,27,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000034,24시주차장,민영,노외,부산광역시 해운대구 우1동647-8,부산광역시 해운대구 우1동647-8,32,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,30,1500,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000035,해우주차장,민영,노외,부산광역시 해운대구 중1동1396-59,부산광역시 해운대구 중1동1396-59,24,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,2000,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000036,우동주차장,민영,노외,"부산광역시 해운대구 우1동437-3,439-1,440-3","부산광역시 해운대구 우1동437-3,439-1,440-3",29,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000037,대성주차장,민영,노외,부산광역시 해운대구 반송1동259-111,부산광역시 해운대구 반송1동259-111,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,월주차만,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000038,해운대구청주차장,민영,노외,부산광역시 해운대구 중1동1378-95,부산광역시 해운대구 중1동1378-95,99,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,0:00,유료,10,300,0,0,,,,현금+신용카드,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000039,반여동주차장,민영,노외,부산광역시 해운대구 반여1동740-6,부산광역시 해운대구 반여1동740-6,14,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000040,신라주차장,민영,노외,"부산광역시 해운대구 재송2동210-27,42","부산광역시 해운대구 재송2동210-27,42",31,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,1000,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000041,신촌주차장,민영,노외,부산광역시 해운대구 반여1동1248,부산광역시 해운대구 반여1동1248,13,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,월주차만,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000042,반송주차장,민영,노외,부산광역시 해운대구 반송1동744-206,부산광역시 해운대구 반송1동744-206,7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,월주차만,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000044,해천주차장,민영,노외,부산광역시 해운대구 반송1동250-2292,부산광역시 해운대구 반송1동250-2292,14,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000045,기장주차장,민영,노외,부산광역시 해운대구 우1동542-25,부산광역시 해운대구 우1동542-25,16,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,4000,10,1000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000046,대영주차장,민영,노외,부산광역시 해운대구 재송1동1071-26,부산광역시 해운대구 재송1동1071-26,7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000047,부일주차장,민영,노외,부산광역시 해운대구 우1동151-4외1,부산광역시 해운대구 우1동151-4외1,9,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,2000,30,1000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000048,성심주차장,민영,노외,부산광역시 해운대구 반송1동261-131,부산광역시 해운대구 반송1동261-131,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000049,송민주차장,민영,노외,"부산광역시 해운대구 반송1동250-1004,1005","부산광역시 해운대구 반송1동250-1004,1005",6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000050,유진주차장,민영,노외,"부산광역시 해운대구 반송2동331-8,13","부산광역시 해운대구 반송2동331-8,13",30,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000051,주차장,민영,노외,부산광역시 해운대구 중동 276-1,부산광역시 해운대구 중동 276-1,20,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000052,누리주차장,민영,노외,부산광역시 해운대구 우동 641-14,부산광역시 해운대구 우동 641-14,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,30,1500,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000053,한라주차장,민영,노외,부산광역시 해운대구 좌동 1521-3,부산광역시 해운대구 좌동 1521-3,363,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,1000,60,1000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000054,해운대블루주차장,민영,노외,부산광역시 해운대구 좌동 1360,부산광역시 해운대구 좌동 1360,43,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000055,대천주차장,민영,노외,부산광역시 해운대구 좌동 1482-4,부산광역시 해운대구 좌동 1482-4,20,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000056,5994주차장,민영,노외,부산광역시 해운대구 반여동 1607-18,부산광역시 해운대구 반여동 1607-18,3,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,월주차만,부산광역시 해운대구,051-749-4882,35.19930983,129.1319426,2021.7.22
138-4-000057,청도주차장,민영,노외,부산광역시 해운대구 반송1동250-1687,부산광역시 해운대구 반송1동250-1687,15,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,월주차만,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000059,극동주차장,민영,노외,부산광역시 해운대구 중1동944-14,부산광역시 해운대구 중1동944-14,11,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000060,리베라세이브존주차장,민영,노외,부산광역시 해운대구 중1동1394-174,부산광역시 해운대구 중1동1394-174,45,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,10,500,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000061,대신주차장,민영,노외,부산광역시 해운대구 반여3동1603-19,부산광역시 해운대구 반여3동1603-19,7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000062,흥안인더스트리,민영,노외,부산광역시 해운대구 우1동626-4,부산광역시 해운대구 우1동626-4,10,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,4000,30,2000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000063,GS타임즈 해운대 제3,민영,노외,부산광역시 해운대구 우동 1305,부산광역시 해운대구 우동 1305,6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,,,,카드,카드전용,부산광역시 해운대구,051-749-4882,35.1616903,129.1601316,2021.7.22
138-4-000064,한양주차장,민영,노외,부산광역시 해운대구 재송1동1087-1,부산광역시 해운대구 재송1동1087-1,13,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,30,1000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000065,GS타임즈 해운대 제2,민영,노외,부산광역시 해운대구 우1동762-46,부산광역시 해운대구 우1동762-46,18,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,20,1000,20,1000,,,,카드,카드전용,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000066,행운주차장,민영,노외,부산광역시 해운대구 반여1동873,부산광역시 해운대구 반여1동873,13,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,2000,10,2000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000067,해동주차장,민영,노외,부산광역시 해운대구 우1동381-1,부산광역시 해운대구 우1동381-1,16,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,2000,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000068,강남주차장,민영,노외,부산광역시 해운대구 반송1동250-1751,부산광역시 해운대구 반송1동250-1751,3,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000069,해운대비치주차장,민영,노외,부산광역시 해운대구 우1동649-1,부산광역시 해운대구 우1동649-1,17,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,3000,30,1500,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000070,대천주차장,민영,노외,부산광역시 해운대구 좌2동1482-4,부산광역시 해운대구 좌2동1482-4,20,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000071,진영주차장,민영,노외,"부산광역시 해운대구 좌2동1480-2,3","부산광역시 해운대구 좌2동1480-2,3",32,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000072,지에스타임즈스테이션센텀필주차장,민영,노외,부산광역시 해운대구 재송1동12201221,부산광역시 해운대구 재송1동12201221,290,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,30,1000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000073,해운대온천센터주차장,민영,노외,부산광역시 해운대구 중1동1226-3외 7필지,부산광역시 해운대구 중1동1370-7외 8필지,158,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,4000,30,2000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000074,신리주차장,민영,노외,부산광역시 해운대구 반송2동788-15외2,부산광역시 해운대구 반송2동788-15외2,13,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,1000,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000075,센텀Q주차장,민영,노외,부산광역시 해운대구 우2동1483,부산광역시 해운대구 우2동1483,399,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,2000,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000076,코리아주차장,민영,노외,부산광역시 해운대구 중1동204-4,부산광역시 해운대구 중1동204-4,3,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000078,대형주차장,민영,노외,"부산광역시 해운대구 우1동 700,701-2,701-3,702","부산광역시 해운대구 우1동 700,701-2,701-3,702",149,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,4000,30,2000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000079,조방주차장,민영,노외,부산광역시 해운대구 좌1동815-40,부산광역시 해운대구 좌1동815-40,7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000080,동백주차장,민영,노외,부산광역시 해운대구 우1동542-6,부산광역시 해운대구 우1동542-6,16,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1500,10,500,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
138-4-000081,동백섬주차장,민영,노외,"부산광역시 해운대구 우1동747-5,-6,-9,-10-11","부산광역시 해운대구 우1동747-5,-6,-9,-10-11",78,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,60,6000,10,1000,,,,현금,,부산광역시 해운대구,051-749-4882,,,2021.7.22
